Year,Stage,Stadium,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Referee,Home Team Initials,Away Team Initials
1962,Group 3,Estadio Sausalito,Spain,1,0,Mexico,TESANIC Branko (YUG),ESP,MEX
1962,Group 4,Estadio El Teniente-Codelco,Hungary,6,1,Bulgaria,GARDEAZABAL Juan (ESP),HUN,BUL
1962,Group 2,Nacional,Germany FR,2,1,Switzerland,HORN Leo (NED),FRG,SUI
1962,Group 1,Carlos Dittborn,Soviet Union,2,1,Uruguay,JONNI Cesare (ITA),URS,URU
1962,Group 3,Estadio Sausalito,Brazil,2,1,Spain,BUSTAMANTE Sergio (CHI),BRA,ESP
1962,Group 4,Estadio El Teniente-Codelco,Hungary,0,0,Argentina,YAMASAKI MALDONADO Arturo (MEX),HUN,ARG
1962,Group 2,Nacional,Germany FR,2,0,Chile,DAVIDSON Bob (SCO),FRG,CHI
1962,Group 1,Carlos Dittborn,Yugoslavia,5,0,Colombia,ROBLES Carlos (CHI),YUG,COL
1962,Group 3,Estadio Sausalito,Mexico,3,1,Czechoslovakia,DIENST Gottfried (SUI),MEX,TCH
1962,Group 4,Estadio El Teniente-Codelco,England,0,0,Bulgaria,BLAVIER Arthur (BEL),ENG,BUL
